"id";"id_orcamento";"id_produto";"description";"cores";"quantidade";"prazo";"desconto";"unitario";"total";"comissao_externa"
"77";"37";"41";"Caneta de Plástico";"1";"3000";"15 dias úteis";"0";"0.80";"2400.00";"0.00"
"78";"38";"22";"Caneta de metal";"1";"50";"10 dias úteis";"0";"10.46";"523.00";"0.00"
"79";"38";"32";"Caneta de Metal";"1";"120";"10 dias úteis";"0";"9.32";"1118.40";"0.00"
"80";"38";"45";"Caneta de Plástico";"1";"250";"15 dias úteis";"0";"1.33";"332.50";"0.00"
"81";"38";"86";"Porta cartão de metal";"1";"120";"10 dias úteis";"0";"6.64";"796.80";"0.00"
"82";"38";"85";"Porta cartão de couro";"1";"120";"10 dias úteis";"0";"8.05";"966.00";"0.00"
"83";"38";"40";"Caneta de Plástico";"1";"250";"15 dias úteis";"0";"1.30";"325.00";"0.00"
"84";"39";"8";"Chaveiro abridor long neck";"1";"150";"15 dias úteis";"0";"3.53";"530.00";"0.00"
"85";"40";"63";"Estojo meia lua p/ 2 canetas";"1";"50";"7 dias úteis";"0";"3.20";"160.00";"0.00"
"86";"41";"6";"Chaveiro gel";"1";"1000";"25 dias úteis";"0";"1.37";"1372.80";"0.00"
"87";"42";"57";"Caneta Ecológica";"1";"250";"15 dias úteis";"0";"1.28";"320.00";"0.00"
"88";"42";"58";"Caneta de Plástico";"1";"250";"15 dias úteis";"0";"1.05";"262.00";"0.00"
"89";"42";"6";"Chaveiro gel";"1";"150";"25 dias úteis";"0";"1.61";"241.50";"0.00"
"90";"43";"7";"Chaveiro anzol";"2";"300";"15 dias úteis";"0";"1.14";"343.20";"0.00"
"91";"43";"9";"Chaveiro Abridor Cortador";"2";"300";"15 dias úteis";"0";"1.49";"446.16";"0.00"
"92";"44";"116";"ME011";"1";"150";"15 dias úteis";"0";"11.02";"1653.00";"0.00"
"93";"44";"56";"Caneta de Plástico";"2";"250";"15 dias úteis";"0";"2.19";"548.00";"0.00"
"94";"45";"85";"Porta cartão de couro";"1";"2000";"10 dias úteis";"0";"6.59";"13170.00";"0.00"
"95";"45";"86";"Porta cartão de metal";"1";"2000";"10 dias úteis";"0";"5.18";"10362.00";"0.00"
"96";"46";"6";"Chaveiro gel";"1";"150";"25 dias úteis";"0";"1.61";"241.50";"0.00"
"97";"47";"33";"Caneta de Metal";"1";"1000";"10 dias úteis";"0";"4.69";"4687.00";"0.00"
"98";"47";"34";"Caneta de metal";"1";"1000";"10 dias úteis";"0";"4.53";"4531.00";"0.00"
"99";"48";"22";"Caneta de metal";"1";"200";"10 dias úteis";"0";"8.10";"1620.00";"0.00"
"100";"49";"64";"Estojo de metal p/ 2 canetas";"1";"50";"7 dias úteis";"0";"7.47";"373.50";"0.00"
"101";"50";"79";"Espelho de 2 lados";"1";"250";"10 dias úteis";"0";"3.65";"913.00";"0.00"
"102";"50";"76";"Kit pincéis";"1";"250";"10 dias úteis";"0";"6.62";"1654.00";"0.00"
"103";"50";"75";"Escova com espelho";"1";"250";"10 dias úteis";"0";"3.96";"991.00";"0.00"
"104";"50";"80";"Kit manicure de couro";"1";"250";"15 dias úteis";"0";"131.37";"32843.00";"0.00"
"105";"51";"77";"Porta perfume";"1";"4000";"10 dias úteis";"0";"5.38";"21533.00";"0.00"
"106";"52";"3";"Chaveiro redondo giratório";"1";"50";"10 dias úteis";"0";"7.16";"358.00";"0.00"
"107";"53";"2";"Chaveiro retângular giratório";"1";"500";"10 dias úteis";"0";"4.64";"2319.00";"0.00"
